23,-1
24,-1
22,-2
25,-2
11,-3
25,-3
10,-4
12,-4
25,-4
11,-5
19,-5
23,-5
25,-5
18,-6
22,-6
24,-6
9,-7
10,-7
11,-7
12,-7
13,-7
18,-7
23,-7
8,-8
13,-8
19,-8
20,-8
21,-8
22,-8
27,-8
28,-8
7,-9
9,-9
10,-9
27,-9
28,-9
31,-9
32,-9
4,-10
7,-10
9,-10
25,-10
26,-10
28,-10
31,-10
32,-10
3,-11
5,-11
7,-11
17,-11
25,-11
26,-11
27,-11
4,-12
7,-12
12,-12
13,-12
14,-12
18,-12
19,-12
7,-13
8,-13
12,-13
13,-13
17,-13
18,-13
12,-14
26,-14
27,-14
26,-15
27,-15
11,-17
13,-17
6,-18
7,-18
12,-18
13,-18
5,-19
8,-19
12,-19
20,-19
21,-19
8,-20
19,-20
22,-20
25,-20
26,-20
8,-21
19,-21
21,-21
26,-21
29,-21
2,-22
6,-22
8,-22
20,-22
26,-22
28,-22
30,-22
1,-23
5,-23
7,-23
23,-23
24,-23
26,-23
29,-23
1,-24
6,-24
23,-24
26,-24
2,-25
3,-25
4,-25
5,-25
10,-25
11,-25
20,-25
25,-25
10,-26
11,-26
14,-26
15,-26
20,-26
21,-26
22,-26
23,-26
24,-26
8,-27
9,-27
11,-27
14,-27
15,-27
8,-28
9,-28
10,-28
22,-28
21,-29
23,-29
22,-30
9,-31
10,-31
9,-32
10,-32
